conf/sac/YangML20,
conf/vmcai/NguyenTSC21,
journals/software/KirbasWMKPSNWCB21,
journals/chinaf/RoychoudhuryX19,
journals/tse/ChenPF21,
conf/icsm/LiangJJZL0021,
conf/gi-ws/SmigielskaBP21,
conf/gi-ws/KittC21,
conf/gi-ws/MesecanGLCC21,
conf/gi-ws/0015AFW21,
journals/tse/ChenPF21,
conf/icse/WinterBCHHNW20,
conf/sigsoft/AnBPY19,
conf/icse/DingLTG19,
conf/icse/XinR19,
conf/icse/RenzulloWMF18,
conf/icse/XiongWFZ18,
conf/icse/AnKY18,
conf/gecco/HaraldssonWBS17,
conf/gecco/SchulteWF15,
conf/icsm/NodaYK21,
conf/icsm/Zhang000LKB21,
conf/pldi/SotoudehT21,
conf/pldi/ShariffdeenNGR21,
conf/pldi/RahmaniNDJ21,
conf/sigsoft/SongLO21,
conf/sigsoft/ZhuSXZY0Z21,
conf/sigsoft/WongSKG21,
conf/ssbse/GuizzoBCPS21,
conf/icst/NilizadehLLPC21,
conf/icst/CamposRFR21,
conf/issta/MukherjeeAR21,
conf/issta/XuP0LZZDL21,
conf/icse/BridaRZBNAF21,
conf/icse/HenkelSTdR21,
conf/icse/JiangL021,
journals/tse/Gavidia-Calderon21,
journals/tse/AfzalMSBG21,
journals/tse/MunteanMSGE21,
journals/tse/LiuKBYT21,
conf/icml/YasunagaL21,
conf/icml/BerabiHRV21,
conf/wcre/QinW0MB21,
conf/wcre/CokerSG21,
conf/wcre/YangLM0XY21,
conf/msr/MadeiralD21,
conf/msr/MashhadiH21,
journals/tse/ChenKTPPM21,
journals/jss/LiuLKKLKB21,
journals/jss/YeMDM21,
journals/software/BaudryCEFGKMMAY21,
journals/ese/YangLKKKTLMKB21,
journals/ese/YeMM21,
journals/tosem/GaoWDJXR21,
journals/tosem/ShariffdeenTGR21,
conf/cav/RothenbergG20,
journals/tse/YuanB20,
conf/sigsoft/WidyasariSLQPTT20,
conf/sigsoft/GhanbariM20,
conf/kbse/BentonLLZ20,
conf/kbse/TianLKKLKB20,
conf/kbse/SongZJ20,
conf/kbse/Wu20,
conf/kbse/WangWLWQZMJ20,
conf/icse/HongLLO20,
conf/icse/Li0N20,
conf/icse/0001WKKB0WKMT20,
conf/icse/IslamPNR20,
conf/icse-apr/BianBP21,
conf/icse-apr/VuPM21,
conf/icse-apr/CsuvikHLV21,
conf/icse-apr/KniekeRS21,
conf/icse-apr/WangZ21,
conf/icse-apr/KlieberMSCMS21,
conf/icse-apr/Krasniqi21,
conf/icse-apr/Rothenberg21,
conf/pldi/SakkasECWJ20,
conf/issta/LutellierPPLW020,
conf/issta/AbdessalemPNBS20,
conf/issta/LouGLZZHZ20,
journals/ese/KimKLK20,
journals/ese/KoyuncuLBKKMT20,
journals/tosem/YuanB20,
conf/enase/AsadGS20,
conf/wcre/NodaNHTK20,
journals/cacm/GouesPR19,
conf/icst/GyimesiVSMBF019,
conf/icse/BentonGZ19,
journals/chinaf/JiangXX19,
conf/esem/WangWCYM19,
conf/sp/0002LTJ19,
journals/ese/KimK19,
conf/icsm/AsadGS19,
conf/issre/LiangHZ0X019,
conf/kbse/WuZ0TZ19,
conf/kbse/GhanbariZ19,
conf/kbse/EndresSCJW19,
conf/kbse/HuAMLR19,
conf/kbse/JiangRXZ19,
conf/icse/Monperrus19,
journals/jss/MartinezM19,
conf/iclr/VasicKMBS19,
journals/tosem/TufanoWBPWP19,
journals/pacmpl/YiCMJ19,
journals/pacmpl/PanHXD19,
journals/pacmpl/BaderSP019,
conf/sigsoft/ShiLO0M19,
conf/sigsoft/DurieuxDMA19,
conf/sigsoft/KoyuncuLB0MKT19,
conf/sigsoft/BavishiYP19,
conf/sigsoft/0001RJGA19,
conf/ssbse/DantasSSC19,
conf/icse/MargineanBCH0MM19,
conf/icse/DmeiriTWBLDVR19,
conf/icse/MaozRS19,
conf/icse/GhorbaniGM19,
conf/icse/LeB00LP19,
conf/icse/XuSYX19,
conf/icse/ZhangHMBLU19,
conf/icse/SahaSP19,
conf/issta/GaoMR19,
conf/issta/GhanbariBZ19,
conf/issta/LiuK0B19,
